id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;B;B_error;B_quality;B_uncertainty_flag;B-V;B-V_error;B-V_quality;B-V_uncertainty_flag;b-y;b-y_error;b-y_quality;b-y_uncertainty_flag;B1;B1_error;B1_quality;B1_uncertainty_flag;B1-B2;B1-B2_error;B1-B2_quality;B1-B2_uncertainty_flag;B2;B2_error;B2_quality;B2_uncertainty_flag;B2-G;B2-G_error;B2-G_quality;B2-G_uncertainty_flag;BP;BP_error;BP_quality;BP_uncertainty_flag;c1;c1_error;c1_quality;c1_uncertainty_flag;D;D_error;D_quality;D_uncertainty_flag;D(V1-G);D(V1-G)_error;D(V1-G)_quality;D(V1-G)_uncertainty_flag;Delta;Delta_error;Delta_quality;Delta_uncertainty_flag;Delta a;Delta a_error;Delta a_quality;Delta a_uncertainty_flag;g';g'_error;g'_quality;g'_uncertainty_flag;G;G_error;G_quality;G_uncertainty_flag;H;H_error;H_quality;H_uncertainty_flag;Hp;Hp_error;Hp_quality;Hp_uncertainty_flag;Hβ;Hβ_error;Hβ_quality;Hβ_uncertainty_flag;i';i'_error;i'_quality;i'_uncertainty_flag;J;J_error;J_quality;J_uncertainty_flag;K;K_error;K_quality;K_uncertainty_flag;m1;m1_error;m1_quality;m1_uncertainty_flag;r';r'_error;r'_quality;r'_uncertainty_flag;RP;RP_error;RP_quality;RP_uncertainty_flag;U;U_error;U_quality;U_uncertainty_flag;U-B;U-B_error;U-B_quality;U-B_uncertainty_flag;U-B1;U-B1_error;U-B1_quality;U-B1_uncertainty_flag;U-B2;U-B2_error;U-B2_quality;U-B2_uncertainty_flag;V;V_error;V_quality;V_uncertainty_flag;V-I;V-I_error;V-I_quality;V-I_uncertainty_flag;V1;V1_error;V1_quality;V1_uncertainty_flag;V1-G;V1-G_error;V1-G_quality;V1-G_uncertainty_flag;VM;VM_error;VM_quality;VM_uncertainty_flag;X;X_error;X_quality;X_uncertainty_flag;Y;Y_error;Y_quality;Y_uncertainty_flag;Z;Z_error;Z_quality;Z_uncertainty_flag
11;;61680;;0.4561135;0.117;-3.0275492;0.091;94.5932723;-63.1364976;00 01 49.446;-03 01 39.06;;;;;-0.128;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;61687;;0.5196751;0.058;-22.3275151;0.041;53.4405453;-77.815279;00 02 04.743;-22 19 38.90;10.579;0.034;;;0.45;0.04;;;;;;;;;;;;;;;;;;;10.3023;0.178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;61690;;0.5602605;0.023;-11.9643633;0.022;83.2696018;-70.9437877;00 02 14.457;-11 57 51.79;9.032;0.0;;;0.172;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;61700;;0.6691773;0.025;28.5422249;0.017;110.1366378;-33.1151081;00 02 40.609;+28 32 32.03;8.489;0.204;;;0.29;0.015;;;;;;;;;;;;;;;;;;;8.2583;0.011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;61710;A;0.7036629;0.033;-23.875842;0.032;46.7573698;-78.5626494;00 02 48.853;-23 52 32.85;9.543;0.007;;;-0.06;;;;0.85;;;;-0.678;;;;1.528;;;;-0.709;;;;9.5978;0.389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;61720;;0.8031685;0.049;-31.2123783;0.042;8.8549296;-78.7165997;00 03 12.734;-31 12 44.64;8.93;0.059;;;0.081;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;?;61726;;0.849554;0.031;73.1745069;0.028;119.4184826;10.6313019;00 03 23.970;+73 10 28.25;10.663;0.001;;;0.146;0.014;;;;;;;;;;;;;;;;;;;7.4212;0.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;61730;;0.8529616;0.015;-35.965129;0.015;349.0901279;-76.5004226;00 03 24.678;-35 57 54.63;9.362;0.05;;;0.232;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;*;61740;;0.904632;0.033;-28.4171379;0.032;23.2164356;-79.3486322;00 03 37.094;-28 25 01.60;8.241;0.176;;;-0.123;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;61736;;0.9089069;0.022;70.3060237;0.025;118.8929805;7.8100369;00 03 38.086;+70 18 21.79;10.153;0.103;;;-0.019;0.013;;;;;;;;;;;;;;;;;;;8.0934;0.154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;61750;A;0.9695673;0.013;57.378287;0.014;116.5314337;-4.9012441;00 03 52.620;+57 22 41.78;;;;;0.316;0.013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;61756;;1.0463299;0.029;-4.9261119;0.028;93.9511695;-65.1044271;00 04 11.086;-04 55 33.90;9.97;0.107;;;0.39;0.02;;;;;;;;;;;;;;;;;;;9.6868;0.378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;?;61760;;1.0955445;0.036;-29.381559;0.037;17.9137017;-79.4007876;00 04 22.908;-29 22 53.53;7.945;0.271;;;-0.058;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;?;61765;;1.142537;0.017;-73.8529124;0.016;307.351518;-42.8708136;00 04 34.104;-73 51 10.57;9.539;0.717;;;;;;;0.96;;;;-0.467;;;;1.427;;;;-0.445;;;;8.9432;0.456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;61770;;1.1725392;0.059;-71.4369484;0.049;308.1838666;-45.2115744;00 04 41.336;-71 26 12.80;6.335;0.0;;;-0.1;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;?;61780;;1.2118642;0.03;-29.6330262;0.024;16.4670972;-79.4560204;00 04 50.821;-29 37 58.91;8.354;0.118;;;0.002;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;*;61790;;1.2757674;0.035;61.3139792;0.038;117.3998949;-1.0591025;00 05 06.144;+61 18 50.34;;;;;-0.067;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;4;;1.3996275;0.013;55.2696412;0.015;116.3833054;-7.0181996;00 05 35.892;+55 16 10.70;10.112;0.0;;;;;;;;;;;;;;;;;;;;;;;9.4236;0.148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;10;A;1.6012265;0.012;34.6068478;0.009;112.5088661;-27.351815;00 06 24.264;+34 36 24.26;9.519;0.017;;;;;;;;;;;;;;;;;;;;;;;9.0638;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;16;;1.8467756;0.023;-11.613003;0.018;87.1137431;-71.3528366;00 07 23.224;-11 36 46.72;8.43;0.004;;;0.271;0.013;;;0.967;;;;-0.444;;;;1.411;;;;-0.377;;;;8.3256;0.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;?;20;;1.9166061;0.03;1.09411;0.026;100.7114369;-59.8757649;00 07 39.995;+01 05 39.14;8.371;0.0;;;0.17;0.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;;30;;1.9339159;0.052;-2.5486714;0.055;98.0205772;-63.286905;00 07 44.113;-02 32 55.20;6.567;0.267;;;-0.146;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;40;;2.0402178;0.018;31.3789849;0.014;112.2028661;-30.5895544;00 08 09.591;+31 22 44.42;;;;;0.207;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;*;50;;2.096932;;29.090387;;111.732;-32.843;00 08 23.264;+29 05 25.39;;;;;-0.038;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;?;60;A;2.2146854;0.015;37.2153633;0.01;113.5996863;-24.8836029;00 08 51.507;+37 12 55.70;8.984;0.0;;;0.31;;;;0.992;;;;-0.39;;;;1.382;;;;-0.277;;;;8.9989;0.221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;70;;2.2506963;0.027;28.2475157;0.023;111.69144;-33.6963235;00 09 00.162;+28 14 51.22;;;;;0.242;0.007;;;0.97;;;;-0.444;;;;1.414;;;;-0.383;;;;6.5569;0.122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;?;90;;2.5288488;0.046;-26.2156382;0.034;36.2388518;-80.7263216;00 10 06.922;-26 12 56.48;12.776;0.026;;;-0.13;;;;;;;;;;;;;;;;;;;;12.6587;0.177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;?;80;;2.5542995;0.029;25.5267587;0.026;111.3597126;-36.4170062;00 10 13.036;+25 31 36.22;9.368;0.0;;;0.356;0.015;;;;;;;;;;;;;;;;;;;9.0222;0.041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;;100;;2.7161998;0.036;40.5775474;0.025;114.6580863;-21.6414708;00 10 51.888;+40 34 39.28;10.111;0.029;;;;;;;;;;;;;;;;;;;;;;;9.008;0.093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;?;110;;2.8692826;0.017;-26.2536739;0.015;36.2656993;-81.0340179;00 11 28.634;-26 15 11.62;9.738;0.0;;;;;;;;;;;;;;;;;;;;;;;9.5377;1.494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;113;;2.919619;0.02;0.1220968;0.014;101.9897377;-61.1226149;00 11 40.680;+00 07 19.44;10.04;0.113;;;;;;;;;;;;;;;;;;;;;;;9.7308;0.484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;?;120;;3.0567661;0.032;-18.995415;0.023;72.950998;-77.8653709;00 12 13.618;-18 59 43.54;11.526;0.014;;;;;;;;;;;;;;;;;;;;;;;11.311;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;*;130;;3.3037334;0.021;62.0407925;0.021;118.467833;-0.4992074;00 13 12.722;+62 02 27.14;;;;;0.226;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;?;140;;3.3915186;0.023;-29.5758139;0.016;14.3458432;-81.3189055;00 13 34.011;-29 34 32.49;8.77;0.069;;;0.178;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;?;150;;3.5094514;0.032;33.2059587;0.023;113.9892348;-29.0155246;00 14 02.279;+33 12 21.77;;;;;0.009;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;*;160;;3.517049;0.055;-0.033412;0.044;103.0715957;-61.4558099;00 14 04.065;-00 02 00.20;8.969;0.0;;;0.416;0.02;;;;;;;;;;;;;;;;;;;8.7659;0.432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;?;170;;3.6779521;0.016;64.5661255;0.017;119.0001729;1.9751043;00 14 42.715;+64 33 58.10;;;;;0.169;0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;;180;;3.7331229;0.035;22.2841781;0.027;111.9180364;-39.8055815;00 14 55.896;+22 17 03.13;;;;;-0.004;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;?;190;;3.774532;0.019;-17.2586368;0.014;80.6712537;-77.0429555;00 15 05.879;-17 15 31.15;10.016;0.006;;;0.18;;;;0.937;;;;-0.501;;;;1.438;;;;-0.451;;;;9.882;0.195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;210;;3.7833271;0.06;-29.0063601;0.055;17.6223788;-81.7764311;00 15 07.969;-29 00 23.09;9.454;0.027;;;0.397;0.009;;;;;;;;;;;;;;;;;;;9.2114;0.393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;?;200;;3.8417156;0.016;45.529735;0.01;116.342896;-16.8800299;00 15 22.004;+45 31 47.24;;;;;0.13;;;;;;;;;;;;;;;;;;;;9.6815;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;?;220;;3.8525067;0.025;-13.0545011;0.019;90.2469078;-73.5957379;00 15 24.564;-13 03 15.93;8.713;0.006;;;0.245;0.017;;;;;;;;;;;;;;;;;;;8.609;0.538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;;230;A;4.0227993;0.027;8.1154224;0.019;108.0353518;-53.73087;00 16 05.412;+08 06 56.01;7.822;0.03;;;0.323;0.011;;;;;;;;;;;;;;;;;;;7.7014;0.877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;;240;A;4.0899211;0.023;43.5949485;0.017;116.232897;-18.8200554;00 16 21.531;+43 35 42.35;10.225;0.001;;;0.068;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;250;;4.1319658;0.01;64.413776;0.011;119.1727928;1.7971255;00 16 31.705;+64 24 49.64;11.058;0.113;;;0.4;;;;;;;;;;;;;;;;;;;;10.8132;0.161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;?;270;A;4.2725989;0.307;38.68157;0.136;115.6187543;-23.7019496;00 17 05.496;+38 40 53.91;;;;;0.059;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;?;273;;4.3049198;0.038;-14.1091978;0.028;89.7196498;-74.7293559;00 17 13.172;-14 06 32.94;9.419;0.044;;;-0.08;0.008;;;0.837;;;;-0.701;;;;1.538;;;;-0.713;;;;9.4664;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;260;;4.3823018;0.017;76.1453927;0.016;120.8522297;13.4107485;00 17 31.770;+76 08 43.63;10.387;0.104;;;;;;;;;;;;;;;;;;;;;;;8.8186;0.222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;;275;;4.4231362;0.026;73.637661;0.026;120.5194726;10.9241763;00 17 41.480;+73 38 15.35;10.509;0.257;;;0.293;0.015;;;;;;;;;;;;;;;;;;;9.4631;0.306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;?;310;;4.524942;0.011;-83.0613149;0.012;304.1420729;-33.9884317;00 18 05.791;-83 03 40.69;10.228;0.006;;;0.483;0.03;;;;;;;;;;;;;;;;;;;9.9036;0.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;?;300;;4.7066854;0.012;-59.4739068;0.013;310.566633;-57.1683303;00 18 49.615;-59 28 25.94;10.184;0.154;;;;;;;;;;;;;;;;;;;;;;;9.9209;0.052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;?;280;;4.7375716;0.038;63.2882058;0.037;119.290631;0.6463732;00 18 56.897;+63 17 17.67;7.916;0.0;;;0.349;0.007;;;;;;;;;;;;;;;;;;;7.8027;0.747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;;290;;4.7947845;0.025;66.1469107;0.026;119.6736136;3.4794516;00 19 10.723;+66 08 48.83;10.374;0.116;;;;;;;;;;;;;;;;;;;;;;;10.1962;0.144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;?;320;;4.8538826;0.02;-37.7589306;0.016;333.2893457;-77.416505;00 19 24.918;-37 45 32.12;9.982;0.053;;;0.27;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;?;308;;4.8817192;0.033;43.891007;0.023;116.8739467;-18.6050652;00 19 31.624;+43 53 27.70;11.404;0.241;;;;;;;;;;;;;;;;;;;;;;;11.3096;0.213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;;340;;5.0824431;0.021;-24.7030797;0.019;50.3229444;-82.5983696;00 20 19.828;-24 42 10.86;;;;;0.35;;;;;;;;;;;;;;;;;;;;8.7565;0.407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;;330;;5.1150749;0.02;22.4797741;0.018;113.6008056;-39.8300482;00 20 27.605;+22 28 47.23;;;;;;;;;;;;;;;;;;;;;;;;;8.8186;0.172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;?;355;;5.2073587;0.017;-0.8711322;0.012;106.0361345;-62.7344947;00 20 49.768;-00 52 15.96;9.692;0.221;;;0.362;0.028;;;;;;;;;;;;;;;;;;;9.394;0.114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;;350;;5.2550475;0.19;62.7706493;0.157;119.4605625;0.1040956;00 21 01.213;+62 46 14.44;10.499;0.062;;;0.27;;;;;;;;;;;;;;;;;;;;10.4156;0.058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
