id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;HDE_id;Gaia DR2_id;TYC_id;Hipparcos_id;Gaia DR3_id
84;;480;;6.2851909;0.011;63.2044124;0.011;119.9732516;0.4838291;00 25 08.460;+63 12 15.88;430964135251518336;430964135251518336;2032;-99.99;4019-2026-1
85;;500;A;6.3037548;0.012;41.3443896;0.009;117.6548938;-21.2585167;00 25 12.883;+41 20 39.67;381970064611480960;381970064611480960;-99.99;-99.99;2791-734-1
86;?;510;;6.409892;0.008;63.8165027;0.009;120.0903863;1.0871781;00 25 38.356;+63 48 59.36;431102325817832320;431102325817832320;-99.99;-99.99;4023-293-1
87;?;520;;6.4320706;0.207;-50.8380562;0.233;312.8594626;-65.7917484;00 25 43.445;-50 50 17.13;4972809896629908736;4972809896629908736;2202;2028;-99.99
88;?;540;;6.5503475;0.01;-51.6393301;0.011;312.2295616;-65.0309322;00 26 11.998;-51 38 20.95;4924671525218676608;4924671525218676608;2263;2071;8029-592-1
89;;530;;6.5570354;0.016;25.8723872;0.012;115.8598209;-36.6529415;00 26 13.675;+25 52 20.54;2855476644167724672;2855476644167724672;-99.99;2077;1734-922-1
90;;550;;6.5573388;0.012;-58.7961147;0.012;309.0978412;-58.0293311;00 26 13.870;-58 47 45.69;4906532778814983808;4906532778814983808;2280;-99.99;8471-283-1
91;;590;A;7.0600789;0.018;-65.9122321;0.017;306.6930594;-51.0462755;00 28 14.409;-65 54 43.95;4707990665651439232;4707990665651439232;2514;2228;8847-938-1
92;?;570;;7.0837001;0.053;10.1890041;0.03;113.6182346;-52.2644586;00 28 20.048;+10 11 23.40;2751054066372848768;2751054066372848768;2454;2235;-99.99
93;*;560;;7.1188869;0.021;32.4376539;0.014;117.3275013;-30.1840947;00 28 28.581;+32 26 15.99;2862719780094988928;2862719780094988928;2453;2243;2266-725-1
94;?;580;A;7.1729029;0.012;37.3035784;0.013;117.9286301;-25.347096;00 28 40.858;+37 18 14.55;366858445520261760;366858445520261760;2471;2252;2274-1419-1
95;;600;;7.285929;0.095;11.3201385;0.059;114.1951317;-51.1730265;00 29 08.612;+11 19 12.64;2754555839108603392;2754555839108603392;2523;2280;599-1049-1
96;?;610;;7.4266739;0.009;65.398464;0.01;120.6706483;2.6221704;00 29 42.409;+65 23 54.48;527358697610909312;527358697610909312;-99.99;-99.99;4023-641-1
97;?;630;;7.4908156;0.054;-30.2312374;0.036;358.2878113;-84.3609633;00 29 57.801;-30 13 52.45;2318441355179583616;2318441355179583616;2641;-99.99;6991-108-1
98;?;620;;7.530908;0.077;29.7513059;0.035;117.4219743;-32.892308;00 30 07.349;+29 45 05.82;2858826134543154304;2858826134543154304;2628;2355;1737-2790-1
99;;640;;7.7051159;0.056;66.1310344;0.065;120.8450261;3.3428611;00 30 49.249;+66 07 51.75;527780837057065600;527780837057065600;-99.99;2418;4027-242-1
100;;690;;7.8940216;0.088;-61.3469955;0.086;307.1467526;-55.6184168;00 31 34.610;-61 20 48.49;4902060480909237888;4902060480909237888;2883;2488;8841-1090-1
101;;650;;7.919695;0.016;31.7607518;0.013;118.0360306;-30.9230928;00 31 40.697;+31 45 38.84;2859625273337977856;2859625273337977856;-99.99;-99.99;2262-426-1
102;?;660;;7.9920624;0.015;35.9542598;0.014;118.5205252;-26.7506665;00 31 58.043;+35 57 15.36;366126346869252352;366126346869252352;-99.99;-99.99;2274-617-1
103;;670;;8.0372595;0.06;43.7115968;0.051;119.2467641;-19.0220917;00 32 08.957;+43 42 41.89;382453372988210304;382453372988210304;2837;2534;2796-1269-1
104;?;780;;8.0399883;0.027;-75.2551409;0.024;304.5759383;-41.8115142;00 32 09.538;-75 15 18.71;4685073098117029888;4685073098119937664;3014;-99.99;9346-104-1
105;?;720;;8.0645666;0.104;6.9238253;0.063;114.4788975;-55.6328211;00 32 15.495;+06 55 25.87;2747935026762811264;2747935026762811264;-99.99;-99.99;16-433-1
106;;680;;8.0993312;0.012;53.9444818;0.015;120.0988049;-8.8224947;00 32 23.818;+53 56 40.13;416561666799457664;416561666799457664;2852;-99.99;3654-1500-1
107;/;710;;8.1118251;0.43;43.4947529;0.271;119.285704;-19.2425081;00 32 26.804;+43 29 41.24;382443958419926656;382443958419926656;2888;2553;2796-1329-1
